Leibniz	<i>Essais de théodicée</i>, 1710, 1<sup>ère</sup> partie, § 13,GF, p. 110-111.	On dira que les maux sont grands et en grand nombre, en comparaison des biens : l'on se trompe. Ce n'est que le défaut d'attention qui diminue nos biens, et il faut que cette attention nous soit donnée par quelque mélange de maux. Si nous étions ordinairement malades et rarement en bonne santé, nous sentirions merveilleusement ce grand bien, et nous sentirions moins nos maux ; mais ne vaut-il pas mieux néanmoins que la santé soit ordinaire et la maladie rare ? Suppléons donc par notre réflexion à ce qui manque à notre perception, afin de nous rendre le bien de la santé plus sensible. Si nous n'avions point la connaissance de la vie future, je crois qu'il se trouverait peu de personnes qui ne fussent contentes à l'article de la mort de reprendre la vie à condition de repasser par la même valeur des biens et des maux, pourvu surtout que ce ne fût point par la même espèce : on se contenterait de varier, sans exiger une meilleure condition que celle où l'on avait été.
Kant	<i>Didactique anthropologique</i>, § 61, p. 96.	Mais qu'en est-il de la satisfaction (<em>acquiescentia</em>) pendant la vie ? - Elle n'est pas accessible à l'homme : ni dans un sens moral (être satisfait de soi-même pour sa bonne volonté) ni dans un sens pragmatique (être satisfait du bien-être qu'on pense pouvoir se procurer par l'habileté et l'intelligence). La nature a placé en l'homme, comme stimulant de l'activité, la douleur à laquelle il ne peut se soustraire afin que le progrès s'accomplisse toujours vers le mieux ; et même à l'instant suprême, on ne peut se dire satisfait de la dernière partie de sa vie que d'une manière relative (en partie par comparaison avec le lot des autres, en partie par comparaison avec nous-mêmes) ; mais on ne l'est jamais purement ni absolument. Dans la vie, être satisfait (absolument), ce serait, hors de toute activité, le repos et l'inertie des mobiles ou l'engourdissement des sensations et de l'activité qui leur est liée. Un tel état est tout aussi incompatible avec la vie intellectuelle de l'homme que l'immobilité du cœur dans un organisme animal, immobilité à laquelle, si ne survient aucune nouvelle excitation (par la douleur), la mort fait suite inévitablement.
Schopenhauer	<i>Le Monde comme volonté et comme représentation</i>, 1818, Livre troisième, § 38, trad. A. Burdeau, PUF, Quadrige, 2<sup>e</sup> ed., 2004, p. 252-253.	Tout vouloir procède d'un besoin, c'est-à-dire d'une privation, c'est-à-dire d'une souffrance. La satisfaction y met fin ; mais pour un désir qui est satisfait, dix au moins sont contrariés ; de plus, le désir est long, et ses exigences tendent à l'infini ; la satisfaction est courte, et elle est parcimonieusement mesurée. Mais ce contentement suprême lui-même n'est qu'apparent : le désir satisfait fait place aussitôt à un nouveau désir ; le premier est une déception reconnue, le second est une déception non encore reconnue. La satisfaction d'aucun souhait ne peut procurer de contentement durable et inaltérable. C'est comme l'aumône qu'on jette à un mendiant : elle lui sauve aujourd'hui la vie pour prolonger sa misère jusqu'à demain. Tant que notre conscience est remplie par notre volonté, tant que nous sommes asservis à l'impulsion du désir, aux espérances et aux craintes continuelles qu'il fait naître, tant que nous sommes sujets du vouloir, il n'y a pour nous ni bonheur durable, ni repos. Poursuivre ou fuir, craindre le malheur ou chercher la jouissance, c'est en réalité tout un : l'inquiétude d'une volonté toujours exigeante, sous quelque forme qu'elle se manifeste, emplit et trouble sans cesse la conscience ; or sans repos le véritable bonheur est impossible. Ainsi le sujet du vouloir ressemble à Ixion attaché sur une roue qui ne cesse de tourner, aux Danaïdes qui puisent toujours pour emplir leur tonneau, à Tantale éternellement altéré.
Freud	<i>Malaise dans la civilisation</i>, 1929, P.U.F, Chapitre 2, 1971, Trad. Ch. Et J. Odier, p. 20-21.	[...] quels sont les desseins et les objectifs vitaux trahis par la conduite des hommes, que demandent-ils à la vie, et à quoi tendent-ils ? On n'a guère de chance de se tromper en répondant : ils tendent au bonheur ; les hommes veulent être heureux et le rester. Cette aspiration a deux faces, un but négatif et un but positif : d'un côté éviter douleur et privation de joie, de l'autre rechercher de fortes jouissances. En un sens plus étroit, le terme « bonheur » signifie seulement que ce second but a été atteint. En corrélation avec cette dualité de buts, l'activité des hommes peut prendre deux directions, selon qu'ils cherchent - de manière prépondérante ou même exclusive à réaliser l'un ou l'autre.On le voit, c'est simplement le principe du plaisir qui détermine le but de la vie, qui gouverne dès l'origine les opérations de l'appareil psychique ; aucun doute ne peut subsister quant à son utilité, et pourtant l'univers entier - le macrocosme aussi bien que le microcosme - cherche querelle à son programme. Celui-ci est absolument irréalisable ; tout l'ordre de l'univers s'y oppose ; on serait tenté de dire qu'il n'est point entré dans le plan de la « Création » que l'homme soit « heureux ». Ce qu'on nomme bonheur, au sens le plus strict, résulte d'une satisfaction plutôt soudaine de besoins ayant atteint une haute tension, et n'est possible de par sa nature que sous forme de phénomène épisodique. Toute persistance d'une situation qu'a fait désirer le principe du plaisir n'engendre qu'un bien-être assez tiède ; nous sommes ainsi faits que seul le contraste est capable de nous dispenser une jouissance intense, alors que l'état lui-même ne nous en procure que très peu. Ainsi nos facultés de bonheur sont déjà limitées par notre constitution. Or, il nous est beaucoup moins difficile de faire l'expérience du malheur. La souffrance nous menace de trois côtés : dans notre propre corps qui, destiné à la déchéance et à la dissolution, ne peut même se passer de ces signaux d'alarme que constituent la douleur et l'angoisse ; du côté du monde extérieur, lequel dispose de forces invincibles et inexorables pour s'acharner contre nous et nous anéantir ; la troisième menace enfin provient de nos rapports avec les autres êtres humains. La souffrance issue de cette source nous est plus dure peut-être que toute autre ; nous sommes enclins à la considérer comme un accessoire en quelque sorte superflu, bien qu'elle n'appartienne pas moins à notre sort et soit aussi inévitable que celles dont l'origine est autre.Ne nous étonnons point si sous la pression de ces possibilités de souffrance, l'homme s'applique d'ordinaire à réduire ses prétentions au bonheur (un peu comme le fit le principe du plaisir en se transformant sous la pression du monde extérieur en ce principe plus modeste qu'est celui de la réalité), et s'il s'estime heureux déjà d'avoir échappé au malheur et surmonté la souffrance ; si d'une façon très générale la tâche d'éviter la souffrance relègue à l'arrière-plan celle d'obtenir la jouissance.
Rousseau	<i>Essai sur l'origine des langues</i>, 1781, Chapitre IX.	Celui qui n'a jamais réfléchi ne peut être ni clément, ni juste, ni pitoyable, il ne peut pas non plus être méchant et vindicatif. Celui qui n'imagine rien ne sent que lui-même ; il est seul au milieu du genre humain.<br/>La réflexion naît des idées comparées, et c'est la pluralité des idées qui porte à les comparer. Celui qui ne voit qu'un seul objet n'a point de comparaison à faire. Celui qui n'en voit qu'un petit nombre, et toujours les mêmes dès son enfance, ne les compare point encore, parce que l'habitude de les voir lui ôte l'attention nécessaire pour les examiner : mais à mesure qu'un objet nouveau nous frappe, nous voulons le connaître ; dans ceux qui nous sont connus, nous lui cherchons des rapports. C'est ainsi que nous apprenons à considérer ce qui est sous nos yeux, et que ce qui nous est étranger nous porte à l'examen de ce qui nous touche.
Sénèque	<i>Les bienfaits</i>, 61-63, Livre IV, § 11.	Si c'est l'intérêt et un vil calcul qui me rendent généreux, si je ne suis jamais serviable que pour obtenir en échange un service, je ne ferai pas de bien à celui qui part pour des pays situés sous d'autres cieux, éloignés du mien, qui s'absente pour toujours ; je ne donnerai pas à celui dont la santé est compromise au point qu'il ne lui reste aucun espoir de guérison ; je ne donnerai pas, si moi-même je sens décliner mes forces, car je n'ai plus le temps de rentrer dans mes avances. Et pourtant (ceci pour te prouver que la bienfaisance est une pratique désirable en soi) l'étranger qui tout à l'heure s'en est venu atterrir dans notre port et qui doit tout de suite repartir reçoit notre assistance ; à l'inconnu qui a fait naufrage nous donnons, pour qu'il soit rapatrié, un navire tout équipé. Il part, connaissant à peine l'auteur de son salut ; comme il ne doit jamais plus revenir à portée de nos regards il transfère sa dette aux dieux mêmes et il leur demande dans sa prière de reconnaître à sa place notre bienfait ; en attendant nous trouvons du charme au sentiment d'avoir fait un peu de bien dont nous ne recueillerons pas le fruit.<br/> Et lorsque nous sommes arrivés au terme de la vie, que nous réglons nos dispositions testamentaires, n'est-il pas vrai que nous répartissons des bienfaits dont il ne nous reviendra aucun profit ? Combien d'heures l'on y passe ! Que de temps on discute, seul avec soi-même, pour savoir combien donner et à qui ! Qu'importe, en vérité, de savoir à qui l'on veut donner puisqu'il ne nous en reviendra rien en aucun cas ?<br/> Pourtant, jamais nous ne donnons plus méticuleusement ; jamais nos choix ne sont soumis à un contrôle plus rigoureux qu'à l'heure où, l'intérêt n'existant plus, seule l'idée du bien se dresse devant notre regard.
Schopenhauer	<i>Le fondement de la morale</i> (1841), trad. Auguste Burdeau, Le Livre de poche, pp. 154-156.	Qu'on suppose à une action, comme cause dernière, le motif qu'on voudra : ce sera toujours en fin de compte, et par des détours plus ou moins longs, <em>le bien et le mal de l'agent lui-même</em>, qui aura tout mis en branle ; l'action sera donc <em>égoïste</em>, et par suite <em>sans valeur morale</em>. Il est un cas, un seul, qui fasse exception : c'est quand la raison dernière d'une action ou omission réside dans le <em>bien et le mal</em> d'un autre être, « intéressé à titre de patient », alors l'agent, dans sa résolution ou son abstention, n'a rien d'autre en vue, que la pensée du bien ou du mal de cet autre ; son seul but, c'est de faire que cet autre ne soit pas lésé, ou même reçoive aide, secours et allégement de son fardeau. C'est cette <em>direction de l'action</em> qui <em>seule</em> peut lui imprimer un caractère de bonté morale ; ainsi tel est le propre de l'action, positive ou négative, moralement bonne, d'être dirigée en vue de l'avantage et du profit d'<em>un autre</em>. Autrement, le bien et le mal qui en tout cas inspirent l'action ou l'abstention, ne peuvent être que le bien et le mal de l'agent lui-même : dès lors elle ne peut être qu'égoïste et destituée de toute valeur morale.<br/> Or, pour que mon action soit faite uniquement <em>en vue d'un autre</em>, il faut que <em>le bien de l'autre soit pour moi, et directement, un motif</em>, au même titre où mon b<em>ien à moi</em> l'est d'ordinaire. De là une façon plus précise de poser le problème : comment donc le bien et le mal d'un autre peuvent-ils bien déterminer ma volonté directement, à la façon dont seul d'ordinaire, agit mon propre bien ? Comment ce bien, ce mal, peuvent-ils devenir mon motif, et même un motif assez puissant pour me décider parfois à faire passer en seconde ligne et plus ou moins loin derrière, le principe constant de tous mes autres actes, mon bien et mon mal à moi ? -- Évidemment, il faut que cet autre être devienne la <em>fin dernière</em> de mon acte, comme je la suis moi-même en toute autre circonstance : il faut donc que je veuille son bien et que je ne veuille pas son mal, comme je fais d'ordinaire pour mon propre bien et mon propre mal. À cet effet, il est nécessaire que je compatisse à son mal à lui, et comme tel ; que je sente son mal, ainsi que je fais d'ordinaire le mien. Or, c'est supposer que par un moyen quelconque, je suis <em>identifié</em> avec lui, que toute différence entre moi et autrui est détruite, au moins jusqu'à un certain point, car c'est sur cette différence que repose justement mon égoïsme. Mais je ne peux me glisser dans la peau d'autrui : le seul moyen auquel je puisse recourir, c'est donc d'utiliser la <em>connaissance</em> que j'ai de cet autre, la représentation que je me fais de lui dans ma tête, afin de m'identifier à lui, assez pour traiter, dans ma conduite, cette différence comme si elle n'existait pas. Toute cette série de pensées, dont voilà l'analyse, je ne l'ai pas rêvée, je ne l'affirme pas en l'air ; elle est fort réelle, même elle n'est point rare ; c'est là le phénomène quotidien de la <em>pitié</em>, de cette <em>participation</em> toute immédiate, sans aucune arrière-pensée, d'abord aux <em>douleurs</em> d'autrui, puis et par suite à la cessation, ou à la suppression de ces maux, car c'est là le dernier fond de tout bien-être et de tout bonheur. Cette pitié, voilà le seul principe réel de toute justice <em>spontanée</em> et de toute <em>vraie</em> charité. Si une action a une valeur morale, c'est dans la mesure où elle en vient : dès qu'elle a une autre origine, elle ne vaut plus rien. Dès que cette pitié s'éveille, le bien et le mal d'autrui me tiennent au cœur aussi directement que peut y tenir d'ordinaire mon propre bien, sinon avec la même force : entre cet autre et moi, donc, plus de différence absolue.
Nietzsche	<i>Le Gai savoir</i>, 1882, Livre premier, § 21.	Nous disons bonnes les vertus d'un homme, non pas à cause des résultats qu'elles peuvent avoir pour lui, mais à cause des résultats qu'elles peuvent avoir pour nous et pour la société : dans l'éloge de la vertu on n'a jamais été bien « désintéressé », on n'a jamais été bien « altruiste » ! On aurait remarqué, sans cela, que les vertus (comme l'application, l'obéissance, la chasteté, la piété, la justice) sont généralement nuisibles à celui qui les possède, parce que ce sont des instincts qui règnent en lui trop violemment, trop avidement, et ne veulent à aucun prix se laisser contrebalancer raisonnablement par les autres. Quand on possède une vertu, une vraie vertu, une vertu complète (non une petite tendance à l'avoir), on est victime de cette vertu ! Et c'est précisément pourquoi le voisin en fait la louange ! On loue l'homme zélé bien que son zèle gâte sa vue, qu'il use la spontanéité et la fraîcheur de son esprit : on vante, on plaint le jeune homme qui s'est « tué à la tâche » parce qu'on pense : « Pour l'ensemble social, perdre la meilleure unité n'est encore qu'un petit sacrifice ! Il est fâcheux que ce sacrifice soit nécessaire! Mais il serait bien plus fâcheux que l'individu pensât différemment, qu'il attachât plus d'importance à se conserver et à se développer qu'à travailler au service de tous ! » On ne plaint donc pas ce jeune homme à cause de lui-même, mais parce que sa mort a fait perdre à la société un instrument soumis, sans égards pour lui-même, bref un « brave homme », comme on dit.
Hume	<i>Dialogues sur la religion naturelle</i>, 1779, Neuvième partie, Vrin, 1973, p. 79-80.	L'argument, répliqua Déméa, sur lequel je veux insister, est l'argument commun. Tout ce qui existe doit avoir une cause ou raison de son existence, car il est impossible qu'une chose se produise elle-même ou soit la cause de sa propre existence. En remontant donc des effets aux causes, il nous faut ou continuer à tracer un progrès à l'infini, sans nous arrêter à la cause ultime, ou recourir à une cause ultime qui existe nécessairement. Écoutez comment on peut prouver que la première de ces suppositions est absurde. Dans l'enchaînement ou le progrès à l'infini des causes, chaque effet simple reçoit son existence du pouvoir et de l'efficacité de cette cause qui le précédait immédiatement. Mais, tout l'enchaînement ou progrès à l'infini pris ensemble n'est déterminé et mû par aucune chose. Il est cependant évident qu'il exige une raison ou une cause aussi bien que tout objet particulier qui commence à exister dans le temps. Il est encore permis de demander pourquoi cette succession particulière de causes existe depuis l'éternité, plutôt qu'une autre succession ou point de succession du tout. S'il n'est pas un être qui existe nécessairement, toute supposition qu'on peut former est également possible : une non-existence absolue de choses depuis l'éternité n'est pas plus absurde que cette succession de causes qui constitue l'univers. Quelle cause a donc pu déterminer que quelque chose existât, plutôt que rien ? Quelle cause a dispensé l'être à une possibilité particulière, plutôt qu'à une autre ? Quant aux <em>causes externes,</em> il est déjà convenu qu'il n'y en a point. Quant au <em>hasard,</em> c'est un mot qui n'a point de sens. Serait-ce le <em>rien ?</em> Mais le rien pourrait-il produire quelque chose ? Nous devons donc avoir recours à l'Être existant nécessairement, qui a dans lui-même la <em>raison</em> de son existence, et qu'on ne peut supposer non-existant sans une contradiction formelle. Il existe donc un tel être ; il existe donc un Dieu.
Jaspers (Karl)	<i>Introduction à la philosophie</i>, 1950, tr. fr. Jeanne Hersch, 10/18, 1981, p. 43-45.	La preuve [de Dieu] la plus ancienne est celle qu'on appelle cosmologique. On induit du cosmos (c'est-à-dire du monde, en grec) l'existence de Dieu. Tout ayant une cause dans le devenir universel, on en tire l'existence d'une cause première ; du mouvement on induit l'existence de sa source, le premier moteur ; de la contingence des êtres individuels, on conclut à la nécessité du tout.<br/> Si on conçoit ces conclusions sur le modèle d'une chose réelle permettant d'affirmer l'existence d'une autre chose réelle -- comme lorsque voyant la face que la lune tourne vers nous, nous en induisons l'existence d'une autre que nous ne voyons pas -- alors elles ne sont pas valables. Des conclusions de ce genre ne sont pour nous légitimes que s'il s'agit d'inférer de certains phénomènes l'existence d'autres phénomènes. Or le monde en tant que totalité n'est pas un phénomène, parce que nous sommes toujours à l'intérieur de lui et que nous ne l'avons jamais dans sa totalité en face de nous. Aussi le monde dans sa totalité ne nous permet-il de tirer aucune conclusion concernant autre chose que lui.<br/> La pensée qui mène à cette conclusion prend cependant un sens différent lorsqu'elle ne prétend plus constituer une preuve. Dès lors son apparence démonstrative devient une métaphore servant à éveiller en nous la conscience du mystère qu'il y a simplement dans le fait que le monde existe, et nous dans le monde. Essayons de penser : il pourrait aussi ne rien y avoir du tout, et demandons-nous avec Schelling : pourquoi, enfin, y a-t-il quelque chose, et non pas rien ? A ce moment, notre certitude de la réalité est d'une sorte telle qu'en nous interrogeant sur son fondement nous ne trouvons aucune réponse, mais nous sommes conduits à l'englobant ; or l'englobant, par essence, <em>est</em> absolument et ne peut pas ne pas être ; et par lui tout le reste est.<br/> Il est vrai qu'on a tenu le monde pour éternel et qu'on lui a attribué le caractère d'exister par lui-même et d'être par là identique à Dieu. Mais c'est impossible [...]<br/> Non seulement de telles « preuves » ne prouvent pas l'existence de Dieu, mais encore elles nous poussent à faire de lui une réalité du monde, qui serait pour ainsi dire fixée à des limites au delà desquelles commencerait un deuxième monde. Elles ne font alors qu'obscurcir l'idée de Dieu.<br/> Elles font cependant une impression d'autant plus forte qu'elles nous conduisent plus fermement, à travers les apparences concrètes, jusqu'au néant et à l'inachèvement. Alors, grâce à elles, nous prenons notre élan, et le monde ne nous suffit plus : il n'est pas le seul être.
